Regla 251, value: 3
Regla 250, value: 3
Regla 249, value: 3
Regla 248, value: 3
Regla 245, value: 3
Regla 244, value: 3
Regla 243, value: 3
Regla 242, value: 3
Regla 241, value: 6
Regla 240, value: 6
Regla 235, value: 3
Regla 234, value: 3
Regla 233, value: 3
Regla 232, value: 3
Regla 227, value: 5
Regla 226, value: 5
Regla 225, value: 3
Regla 224, value: 3
Regla 215, value: 3
Regla 214, value: 3
Regla 213, value: 4
Regla 212, value: 4
Regla 211, value: 3
Regla 210, value: 3
Regla 209, value: 4
Regla 208, value: 4
Regla 187, value: 3
Regla 186, value: 3
Regla 185, value: 4
Regla 184, value: 4
Regla 183, value: 3
Regla 182, value: 3
Regla 180, value: 2
Regla 179, value: 7
Regla 178, value: 7
Regla 177, value: 4
Regla 176, value: 4
Regla 175, value: 3
Regla 174, value: 3
Regla 171, value: 6
Regla 170, value: 6
Regla 169, value: 3
Regla 168, value: 3
Regla 166, value: 1
Regla 163, value: 4
Regla 162, value: 4
Regla 161, value: 4
Regla 160, value: 4
Regla 159, value: 2
Regla 158, value: 2
Regla 155, value: 2
Regla 154, value: 2
Regla 151, value: 3
Regla 150, value: 4
Regla 149, value: 3
Regla 148, value: 2
Regla 147, value: 5
Regla 146, value: 3
Regla 143, value: 5
Regla 142, value: 5
Regla 139, value: 5
Regla 138, value: 5
Regla 137, value: 1
Regla 135, value: 2
Regla 134, value: 1
Regla 127, value: 7
Regla 126, value: 1
Regla 125, value: 5
Regla 124, value: 1
Regla 123, value: 8
Regla 122, value: 4
Regla 121, value: 6
Regla 120, value: 4
Regla 119, value: 4
Regla 117, value: 9
Regla 116, value: 5
Regla 115, value: 5
Regla 114, value: 3
Regla 113, value: 10
Regla 112, value: 8
Regla 111, value: 5
Regla 110, value: 1
Regla 109, value: 5
Regla 108, value: 1
Regla 107, value: 6
Regla 106, value: 4
Regla 105, value: 6
Regla 104, value: 4
Regla 103, value: 6
Regla 101, value: 8
Regla 99, value: 8
Regla 98, value: 6
Regla 97, value: 6
Regla 96, value: 3
Regla 95, value: 4
Regla 93, value: 2
Regla 91, value: 6
Regla 89, value: 5
Regla 87, value: 5
Regla 86, value: 3
Regla 85, value: 5
Regla 84, value: 3
Regla 83, value: 7
Regla 81, value: 8
Regla 80, value: 3
Regla 79, value: 2
Regla 77, value: 2
Regla 75, value: 6
Regla 73, value: 4
Regla 71, value: 3
Regla 69, value: 2
Regla 67, value: 6
Regla 65, value: 3
Regla 63, value: 4
Regla 61, value: 6
Regla 59, value: 5
Regla 58, value: 3
Regla 57, value: 8
Regla 56, value: 6
Regla 55, value: 9
Regla 54, value: 5
Regla 53, value: 8
Regla 52, value: 3
Regla 51, value: 10
Regla 50, value: 8
Regla 49, value: 5
Regla 48, value: 3
Regla 47, value: 8
Regla 46, value: 4
Regla 45, value: 6
Regla 43, value: 9
Regla 42, value: 7
Regla 41, value: 6
Regla 40, value: 3
Regla 39, value: 8
Regla 38, value: 2
Regla 37, value: 6
Regla 35, value: 5
Regla 34, value: 3
Regla 33, value: 7
Regla 32, value: 3
Regla 31, value: 5
Regla 30, value: 3
Regla 29, value: 4
Regla 27, value: 6
Regla 25, value: 5
Regla 23, value: 7
Regla 22, value: 3
Regla 21, value: 6
Regla 20, value: 2
Regla 19, value: 8
Regla 18, value: 3
Regla 17, value: 5
Regla 15, value: 5
Regla 14, value: 4
Regla 13, value: 2
Regla 11, value: 7
Regla 10, value: 3
Regla 9, value: 4
Regla 7, value: 5
Regla 6, value: 1
Regla 5, value: 5
Regla 3, value: 5
Regla 1, value: 6
